EventDate,Department,MachineCode,ReasonCode,ReasonText,StartTime,EndTime,DurationMin
16/05/2025,line b,MC-B02,SETUP,Setup / Changeover,17:30,18:55,85
2025-05-01,LINE-A,MC-A03,SETUP,Setup / Changeover,17:00,17:16,16
2025-05-02,line C,MC-C02,SETUP,Setup / Changeover,16:15,17:13,58
2025-05-03,Line B,MC-B01,BREAKDOWN,Machine breakdown,13:15,14:21,66
2025-05-03,Line B,MC-B01,POWER,Power failure,14:00,14:54,54
2025-05-07, Line A ,MC-A03,NO_MATERIAL,Waiting for material,11:30,13:56,146
2025-05-07,line C,MC-C02,POWER,Power failure,12:45,15:08,143
2025-05-07,Line C,MC-C03,PM,Preventive maintenance,13:15,15:56,161
2025-05-08,line b,MC-B02,BREAKDOWN,Machine breakdown,10:45,11:06,21
2025-05-08,Line C,MC-C02,BREAKDOWN,Machine breakdown,19:15,19:49,34
2025-05-09,L-C,MC-C01,BREAKDOWN,Machine breakdown,15:30,18:57,207
2025-05-10,L-A,MC-A01,NO_MATERIAL,Waiting for material,12:00,12:39,39
2025-05-10,LINE-C,MC-C02,POWER,Power failure,15:15,15:47,32
2025-05-10,Line  B,MC-B02,BREAKDOWN,Machine breakdown,20:15,23:16,181
2025-05-13,LineA,MC-A03,POWER,Power failure,08:15,09:52,97
2025-05-15,L-A,MC-A02,POWER,Power failure,19:15,20:24,69
2025-05-16,LineB,MC-B01,PM,Preventive maintenance,10:00,11:26,86
2025-05-17,LineB,MC-B02,PM,Preventive maintenance,15:45,16:40,55
2025-05-17,L-A,MC-A01,PM,Preventive maintenance,18:00,19:38,98
2025-05-19,Line C,MC-C03,BREAKDOWN,Machine breakdown,15:45,16:17,32
2025-05-20, Line A ,MC-A02,QUALITY,Quality issue stop,17:45,18:09,24
2025-05-20, Line A ,MC-A02,QUALITY,Quality issue stop,17:45,18:09,24
2025-05-21,LineB,MC-B01,POWER,Power failure,06:00,06:22,22
2025-05-21,LineA,MC-A01,QUALITY,Quality issue stop,11:30,12:23,53
2025-05-22,line b,MC-B02,NO_MATERIAL,Waiting for material,17:30,17:52,22
2025-05-23,line C,MC-C02,POWER,Power failure,07:30,09:16,106
2025-05-23,line C,MC-C03,QUALITY,Quality issue stop,15:30,17:00,90
2025-05-24,line a,MC-A03,PM,Preventive maintenance,12:00,13:24,84
2025-05-26,L-C,MC-C01,PM,Preventive maintenance,07:30,08:41,71
2025-05-27,LineA,MC-A01,BREAKDOWN,Machine breakdown,08:15,11:38,203
2025-05-27,L-A,MC-A02,QUALITY,Quality issue stop,14:00,15:03,63
2025-05-28,line c,MC-C02,POWER,Power failure,18:15,18:35,20
2025-05-29,LineC,MC-C02,POWER,Power failure,17:30,17:41,11
2025-05-29,LINE-C,MC-C02,SETUP,Setup / Changeover,17:45,17:59,14
2025-05-30,L-B,MC-B02,BREAKDOWN,Machine breakdown,10:00,11:29,89
2025-05-30,LINE-B,MC-B02,SETUP,Setup / Changeover,12:30,13:34,64
2025-05-30,L-C,MC-C01,QUALITY,Quality issue stop,18:00,18:12,12
2025-05-31,line C,MC-C01,NO_MATERIAL,Waiting for material,09:00,09:17,17
2025-05-31,LINE-C,MC-C03,PM,Preventive maintenance,14:15,15:24,69
21/05/2025,L-B,MC-B02,BREAKDOWN,Machine breakdown,20:30,21:15,45
